date,ticker,pred_dir,pred_conf,pred_est_pct,matches,band_used,score,Ts,avgTs,compVolPct,compSentPct,tv_comp,mv_comp,actual_dir,actual_pct,correct
2024-04-04,AAPL,Down,0.6129032258064516,-0.29109026292867074,31,10,-6.092209458773587,-22.183580580767334,-22.183580580767334,-18.09137112199375,0,-161.4533114176083,1537.8263101019943,Up,0.4501803541427222,0
2024-04-08,AAPL,Down,0.7,-0.5027073907049359,10,10,-4.369934519346483,-42.14332779793777,-42.14332779793777,-39.773393278591286,0,-350.97409349353717,409.36308311560543,Up,0.7242512572309405,0
2024-04-09,AAPL,Up,0.5,-0.12629769164565005,24,10,-0.9491613006902048,-29.770671579680464,-29.770671579680464,-30.82151027899026,0,-426.29773352964617,325.7663001286807,Down,-1.1139266871250335,0
2024-04-10,AAPL,Down,0.5526315789473685,-0.10333965316152262,38,10,-4.938454664112873,-21.10847279668063,-21.10847279668063,-18.170018132567755,0,-431.66841671899937,418.989365625568,Up,4.327091762818502,0
2024-04-11,AAPL,Down,0.6,-0.19194633083051407,10,10,1.7852141819809797,45.08821869103412,45.08821869103412,45.30300450905314,0,258.9110823266727,142.55616420461794,Up,0.8626655756074161,0
2024-04-12,AAPL,Up,0.6666666666666666,0.3470836361068585,3,10,2.5398547904878117,59.11816841933643,59.11816841933643,58.57831362884862,0,403.1351357041119,485.67280848210527,Down,-2.1863497839872346,0
2024-04-15,AAPL,Up,0.5882352941176471,0.12256805309518679,17,10,0.16972300910063254,17.34035268153691,17.34035268153691,19.170629672436277,0,327.8396209475466,544.5732235082153,Down,-1.916727958653445,0
2024-04-16,AAPL,Up,0.5217391304347826,0.15251158908532367,23,10,-3.674532572566619,13.97037569101894,13.97037569101894,19.64490826358556,0,552.3343327140273,336.66374651738533,Down,-0.8147389556206898,0
2024-04-19,AAPL,Down,0.5882352941176471,-0.07850978522515263,34,10,-5.750899900230969,7.803562932107621,7.803562932107621,15.55446283233859,0,3789.4119632397997,168.75462451793953,Up,0.5090886896306818,0
2024-04-22,AAPL,Down,0.5789473684210527,-0.16755587623663892,38,10,-3.728724248121699,-22.51664285916457,-22.51664285916457,-16.787918611042873,0,31.403995195143608,53.4448649233644,Up,0.6391688265803253,0
2024-04-23,AAPL,Down,0.5652173913043478,0.0432173016024796,46,10,-3.3821090715444218,-16.358508662488724,-16.358508662488724,-13.9763995909443,0,68.29277322296454,-15.921276169192634,Up,1.270227952968918,0
