symbol,date,open,high,low,close,volume,peRatio,earningsGrowth,debtToEquity,revenue,netIncome,ATR14,SMA20,STD20,BB_upper,BB_lower,RSI14,MACD
AAPL,2024-05-28,191.50999450683594,193,189.10000610351562,189.99000549316406,52280100,0,0,0,0,0,2.770714896065848,184.7395004272461,6.664979237993443,198.069458903233,171.4095419512592,67.5938888507675,6.839508158939964
AAPL,2024-05-29,189.61000061035156,192.25,189.50999450683594,190.2899932861328,53068000,0,0,0,0,0,2.850714547293527,185.7375,5.880872482447838,197.4992449648957,173.97575503510433,67.53364658856547,6.537025162637491
AAPL,2024-05-30,190.75999450683594,192.17999267578125,190.6300048828125,191.2899932861328,49947900,0,0,0,0,0,2.8035714285714284,186.83699951171874,4.626846200923084,196.0906919135649,177.58330710987258,66.23185254257902,6.305313126643966
AAPL,2024-05-31,191.44000244140625,192.57000732421875,189.91000366210938,192.25,75158300,0,0,0,0,0,2.7821437290736606,187.7979995727539,3.5238544099804314,194.84570839271476,180.75029075279303,72.84011228165878,6.128498669616903
AAPL,2024-06-03,192.89999389648438,194.99000549316406,192.52000427246094,194.02999877929688,50080500,0,0,0,0,0,2.688572474888393,188.33049926757812,3.6193854214839765,195.56927011054609,181.09172842461015,70.7330095977689,6.062122588304646
AAPL,2024-06-04,194.63999938964844,195.32000732421875,193.02999877929688,194.35000610351562,47471400,0,0,0,0,0,2.7078584943498885,188.96249923706054,3.5100860263721128,195.98267128980476,181.94232718431633,69.37292071417221,5.966562167689375
AAPL,2024-06-05,195.39999389648438,196.89999389648438,194.8699951171875,195.8699951171875,54156800,0,0,0,0,0,2.655714852469308,189.6359992980957,3.478426760729973,196.59285281955565,182.67914577663575,67.99296434853261,5.944950566671821
AAPL,2024-06-06,195.69000244140625,196.5,194.1699981689453,194.47999572753906,41181800,0,0,0,0,0,2.7192862374441966,190.22299880981444,3.248132208753915,196.71926322732227,183.7267343923066,62.63616349509367,5.749386534031743
AAPL,2024-06-07,194.64999389648438,196.94000244140625,194.13999938964844,196.88999938964844,53103900,0,0,0,0,0,2.8028575352260043,190.83899841308593,3.2856561801379063,197.41031077336174,184.26768605281012,66.92382452544369,5.7228977802622865
AAPL,2024-06-10,196.89999389648438,197.3000030517578,192.14999389648438,193.1199951171875,97262100,0,0,0,0,0,2.962857927594866,191.3424980163574,2.787247664785179,196.91699334592778,185.76800268678704,54.455871460129416,5.336185193263532
AAPL,2024-06-11,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,172373300,0,0,0,0,0,3.836430140904018,192.3859977722168,4.229924252054811,200.84584627632643,183.92614926810717,70.52133776343206,6.091596200735353
AAPL,2024-06-12,207.3699951171875,220.1999969482422,206.89999389648438,213.07000732421875,198134300,0,0,0,0,0,4.604287283761161,193.66799850463866,6.034239515611049,205.73647753586076,181.59951947341656,77.35012841779191,7.086274315346088
