symbol,date,open,high,low,close,adjclose,volume,dailyReturn,SMA20,RSI14,MACD,BB_upper,BB_lower,ATR14,Volatility5,VWAPratio,OBV,NewsSentMA3d,peRatio,earningsGrowth,debtToEquity,revenue,netIncome
AAPL,2025-02-25,248,250,244.91000366210938,247.0399932861328,247.0399932861328,48013300,0.000000,0,0,0,0,0,0,0,0.9988813031966336,0,0,0,0,0,0,0
AAPL,2025-02-26,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,240.36000061035156,44433600,-0.027040,0,0,0,0,0,0,0,0.9953207180643279,-44433600,0,0,0,0,0,0
AAPL,2025-02-27,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,237.3000030517578,41153600,-0.012731,0,0,0,0,0,0,0,0.993136354846859,-85587200,0,0,0,0,0,0
AAPL,2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,241.83999633789062,56833400,0.019132,0,0,0,0,0,0,0,1.015949476363043,-28753800,0,0,0,0,0,0
AAPL,2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,238.02999877929688,47184000,-0.015754,0,0,0,0,0,0,3.4661395028524273,0.994318891291119,-75937800,0,0,0,0,0,0
AAPL,2025-03-04,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,235.92999267578125,53798100,-0.008822,0,0,0,0,0,0,2.130572343698161,0.9959334515137308,-129735900,0,0,0,0,0,0
AAPL,2025-03-05,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,235.74000549316406,47227600,-0.000805,0,0,0,0,0,0,2.207254010001909,1.0081252311727626,-176963500,0,0,0,0,0,0
AAPL,2025-03-06,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,235.3300018310547,45170400,-0.001739,0,0,0,0,0,0,2.4210940255969366,0.9994903367916177,-222133900,0,0,0,0,0,0
AAPL,2025-03-07,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,239.07000732421875,46273600,0.015893,0,0,0,0,0,0,1.4632310631168064,1.002810437685949,-175860300,0,0,0,0,0,0
AAPL,2025-03-10,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,227.47999572753906,72071200,-0.048480,0,0,0,0,0,0,3.8526957150146677,0.9921204701204822,-247931500,0,0,0,0,0,0
AAPL,2025-03-11,223.80999755859375,225.83999633789062,217.4499969482422,220.83999633789062,220.83999633789062,76137400,-0.029189,0,0,0,0,0,0,6.626663735928128,0.9975757748701229,-324068900,0,0,0,0,0,0
AAPL,2025-03-12,220.13999938964844,221.75,214.91000366210938,216.97999572753906,216.97999572753906,62547500,-0.017479,0,0,0,0,0,0,8.357422326114238,0.9958692671660969,-386616400,0,0,0,0,0,0
AAPL,2025-03-13,215.9499969482422,216.83999633789062,208.4199981689453,209.67999267578125,209.67999267578125,61368300,-0.033644,0,0,0,0,0,0,9.964573797795126,0.99070776880591,-447984700,0,0,0,0,0,0
AAPL,2025-03-14,211.25,213.9499969482422,209.5800018310547,213.49000549316406,213.49000549316406,60107600,0.018171,0,0,0,0,0,0,6.133036615651754,1.0054158616431073,-387877100,0,0,0,0,0,0
AAPL,2025-03-17,213.30999755859375,215.22000122070312,209.97000122070312,214,214,48073400,0.002389,0,21.63462382398737,0,0,0,7.645714896065848,3.7311789452928448,1.0043961850902876,-339803700,0,0,0,0,0,0
AAPL,2025-03-18,214.16000366210938,215.14999389648438,211.49000549316406,212.69000244140625,212.69000244140625,42432400,-0.006121,0,23.83204772216368,0,0,0,7.342143467494419,2.3461415638903884,0.9980291954026445,-382236100,0,0,0,0,0,0
AAPL,2025-03-19,214.22000122070312,218.75999450683594,213.75,215.24000549316406,215.24000549316406,54385400,0.011989,0,28.934309709028156,0,0,0,7.3899993896484375,1.8640963959939565,0.9968661003156962,-327850700,0,0,0,0,0,0
AAPL,2025-03-20,213.99000549316406,217.49000549316406,212.22000122070312,214.10000610351562,214.10000610351562,48862900,-0.005296,0,21.67077432086576,0,0,0,6.917142595563616,0.8339935964101343,0.997654596112558,-376713600,0,0,0,0,0,0
AAPL,2025-03-21,211.55999755859375,218.83999633789062,211.27999877929688,218.27000427246094,218.27000427246094,94127800,0.019477,0,29.967573541172882,0,0,0,6.89142826625279,1.8867227374453297,1.0099014689211396,-282585800,0,0,0,0,0,0
AAPL,2025-03-24,221,221.47999572753906,218.5800018310547,220.72999572753906,220.72999572753906,44299500,0.011270,226.7069999694824,34.70209891244288,0,250.42469429665326,202.98930564231156,6.735712323869977,2.914009110857176,1.0021186669149182,-238286300,0,0,0,0,0,0
AAPL,2025-03-25,220.77000427246094,224.10000610351562,220.0800018310547,223.75,223.75,34493600,0.013682,225.5425003051758,38.58312723371449,0,247.36376132843807,203.7212392819135,6.499997820172991,3.536726490840294,1.0049705688110886,-203792700,0,0,0,0,0,0
AAPL,2025-03-26,223.50999450683594,225.02000427246094,220.47000122070312,221.52999877929688,221.52999877929688,34466100,-0.009922,224.60100021362305,37.297498789999885,0,245.38392863086082,203.81807179638528,6.489283970424107,3.2928475940070236,0.996356918954446,-238258800,0,0,0,0,0,0
AAPL,2025-03-27,221.38999938964844,224.99000549316406,220.55999755859375,223.85000610351562,223.85000610351562,37094800,0.010473,223.92850036621093,35.61437221505595,0,243.87796033962985,203.979040392792,6.333570207868304,2.0752024654175396,1.0032118451237946,-201164000,0,0,0,0,0,0
AAPL,2025-03-28,221.6699981689453,223.80999755859375,217.67999267578125,217.89999389648438,217.89999389648438,39818600,-0.026580,222.73150024414062,39.86458235463719,0,241.04417226447958,204.41882822380165,5.713570731026786,2.196604639417884,0.9913708085073415,-240982600,0,0,0,0,0,0
AAPL,2025-03-31,217.00999450683594,225.6199951171875,216.22999572753906,222.1300048828125,222.1300048828125,65299300,0.019413,221.9365005493164,51.43813544214049,0,238.85067822111967,205.02232287751315,5.66785648890904,2.1629496655906735,1.0036296559179583,-175683300,1.3333333333333333,0,0,0,0,0
AAPL,2025-04-01,219.80999755859375,223.67999267578125,218.89999389648438,223.19000244140625,223.19000244140625,36412700,0.004772,221.29950103759765,57.384068675745006,0,236.9716745250759,205.6273275501194,5.520713806152344,2.0733781265095907,1.0057077044223284,-139270600,1.3333333333333333,0,0,0,0,0
AAPL,2025-04-02,221.32000732421875,225.19000244140625,221.02000427246094,223.88999938964844,223.88999938964844,35905900,0.003136,220.70700073242188,70.04230705824979,-3.7566189588866905,234.98458098718604,206.42942047765771,5.207142421177456,2.2384528061478455,1.002342922028249,-103364700,1.3333333333333333,0,0,0,0,0
AAPL,2025-04-03,205.5399932861328,207.49000549316406,201.25,203.19000244140625,203.19000244140625,103419000,-0.092456,219.10000076293946,40.160488374432056,-4.959391411638677,233.66441341580435,204.53558811007457,6.512142726353237,7.720274438438019,0.9961433487821308,-206783700,-0.4444444444444444,0,0,0,0,0
AAPL,2025-04-04,193.88999938964844,199.8800048828125,187.33999633789062,188.3800048828125,188.3800048828125,125910900,-0.072887,216.56550064086915,30.77731881336838,-7.02664152702576,233.75301789646278,199.3779833852755,7.269286019461496,14.174651889826361,0.9818276731338377,-332694600,-0.4444444444444444,0,0,0,0,0
AAPL,2025-04-07,177.1999969482422,194.14999389648438,174.6199951171875,181.4600067138672,181.4600067138672,160466300,-0.036734,214.26450119018554,28.38755077374188,-9.118228889857164,236.55544678913918,191.9735555912319,8.402858189174108,17.415840430871558,0.9893681267263477,-493160900,-0.4444444444444444,0,0,0,0,0
AAPL,2025-04-08,186.6999969482422,190.33999633789062,169.2100067138672,172.4199981689453,172.4199981689453,120859500,-0.049818,211.84350128173827,22.809248133734712,-11.374165780105074,240.39146710769725,183.2955354557793,9.478572300502233,18.068277987730454,0.9723480521831825,-614020400,-0.6666666666666666,0,0,0,0,0
AAPL,2025-04-09,171.9499969482422,200.61000061035156,171.88999938964844,198.85000610351562,198.85000610351562,184395900,0.153289,210.9370018005371,42.67038560737092,-10.90364087848053,239.9230131838475,181.9509904172267,11.153572082519531,11.228652172645988,1.044106085477954,-429624500,-1.6666666666666667,0,0,0,0,0
AAPL,2025-04-10,189.07000732421875,194.77999877929688,183,190.4199981689453,190.4199981689453,121880000,-0.042394,209.9740020751953,37.141012070629195,-11.083217262261996,240.3113199402468,179.6366842101438,11.745715550013951,8.886880938713107,1.0053854233985018,-551504500,-2.6666666666666665,0,0,0,0,0
AAPL,2025-04-11,186.10000610351562,199.5399932861328,186.05999755859375,198.14999389648438,198.14999389648438,87435900,0.040594,209.20700149536134,40.058122043661136,-10.48096870419866,239.9232622307165,178.4907407600062,12.479287283761161,10.117028885340881,1.018329759705237,-464068600,-1.3333333333333333,0,0,0,0,0
AAPL,2025-04-14,211.44000244140625,212.94000244140625,201.16000366210938,202.52000427246094,202.52000427246094,101352900,0.022054,208.63300170898438,40.76234157443918,-9.541075488211277,239.3985569612791,177.86744645668966,13.248573303222656,10.771949269762292,0.9853070004116968,-362715700,-0.7777777777777777,0,0,0,0,0
AAPL,2025-04-15,201.86000061035156,203.50999450683594,199.8000030517578,202.13999938964844,202.13999938964844,51343900,-0.001876,208.1055015563965,41.42566981356271,-8.726275489263656,238.93643292690953,177.27457018588345,13.188572474888392,4.356746225102059,1.0016021161542528,-414059600,0.3333333333333333,0,0,0,0,0
AAPL,2025-04-16,198.36000061035156,200.6999969482422,192.3699951171875,194.27000427246094,194.27000427246094,59732400,-0.038933,207.05700149536133,37.53161708247988,-8.616260565085895,238.2700258184757,175.84397717224698,13.570000784737724,4.641375391510349,0.9922872892213154,-473792000,-0.22222222222222224,0,0,0,0,0
AAPL,2025-04-17,197.1999969482422,198.8300018310547,194.4199981689453,196.97999572753906,196.97999572753906,51334300,0.013950,206.2010009765625,40.93430641489272,-8.215693878044789,237.533258573318,174.86874337980703,13.454999651227679,3.138442051288439,1.001202906426677,-422457700,0.6666666666666666,0,0,0,0,0
AAPL,2025-04-21,193.27000427246094,193.8000030517578,189.80999755859375,193.16000366210938,193.16000366210938,46742500,-0.019393,204.94550094604492,37.40106074927728,-8.112962149792821,236.25502982916223,173.6359720629276,13.29642813546317,3.892965391267847,1.0046985916288862,-469200200,-7.401486830834377e-17,0,0,0,0,0
AAPL,2025-04-22,196.1199951171875,201.58999633789062,195.97000122070312,199.74000549316406,199.74000549316406,52976400,0.034065,203.89600143432617,40.26890369360444,-7.4151184884310055,234.41599788686455,173.3760049817878,13.557141985212054,3.3404564998596493,1.003214487557215,-416223800,-0.3333333333333333,0,0,0,0,0
AAPL,2025-04-23,206,208,202.8000030517578,204.60000610351562,204.60000610351562,52929200,0.024332,202.93850173950196,42.26233779810487,-6.396179747923696,232.07723598631324,173.79976749269068,13.84928458077567,4.114706519452523,0.9974000799140013,-363294600,-0.7777777777777778,0,0,0,0,0
AAPL,2025-04-24,204.88999938964844,208.8300018310547,202.94000244140625,208.3699951171875,208.3699951171875,47311000,0.018426,202.28050155639647,52.40437830350939,-5.224235118254114,230.2823844960963,174.27861861669663,12.652856009347099,5.395663820286299,1.0080142967181696,-315983600,-0.3333333333333333,0,0,0,0,0
AAPL,2025-04-25,206.3699951171875,209.75,206.1999969482422,209.27999877929688,209.27999877929688,38198600,0.004367,201.55200119018554,61.13834590966251,-4.173916553663759,227.98554964716374,175.11845273320733,11.774284362792969,5.971328885982472,1.0041744648020519,-277785000,0.22222222222222224,0,0,0,0,0
NVDA,2025-02-25,129.97999572753906,130.1999969482422,124.44000244140625,126.62999725341797,126.62999725341797,271428700,0.000000,0,0,0,0,0,0,0,0.996380504904758,0,0,0,0,0,0,0
NVDA,2025-02-26,129.99000549316406,133.72999572753906,128.49000549316406,131.27999877929688,131.27999877929688,322553800,0.036721,0,0,0,0,0,0,0,1.000864031354233,322553800,0,0,0,0,0,0
NVDA,2025-02-27,135,135.00999450683594,120.01000213623047,120.1500015258789,120.1500015258789,443175800,-0.084781,0,0,0,0,0,0,0,0.9607644703383772,-120622000,0,0,0,0,0,0
NVDA,2025-02-28,118.0199966430664,125.08999633789062,116.4000015258789,124.91999816894531,124.91999816894531,389091100,0.039700,0,0,0,0,0,0,0,1.0227886754306112,268469100,0,0,0,0,0,0
NVDA,2025-03-03,123.51000213623047,123.69999694824219,112.27999877929688,114.05999755859375,114.05999755859375,411381400,-0.086936,0,0,0,0,0,0,5.875976059295715,0.9775454212058375,-142912300,0,0,0,0,0,0
NVDA,2025-03-04,110.6500015258789,119.30999755859375,110.11000061035156,115.98999786376953,115.98999786376953,398163300,0.016921,0,0,0,0,0,0,6.239214961236836,1.0074114750238765,255251000,0,0,0,0,0,0
NVDA,2025-03-05,117.58000183105469,118.27999877929688,114.51000213623047,117.30000305175781,117.30000305175781,284337900,0.011294,0,0,0,0,0,0,3.778659194620097,1.0051701138777942,539588900,0,0,0,0,0,0
NVDA,2025-03-06,113.52999877929688,115.3499984741211,110.22000122070312,110.56999969482422,110.56999969482422,321181900,-0.057374,0,0,0,0,0,0,4.751670701097065,0.9868209665222241,218407000,0,0,0,0,0,0
NVDA,2025-03-07,111.25,113.4800033569336,107.55999755859375,112.69000244140625,112.69000244140625,341755500,0.019173,0,0,0,0,0,0,2.377405598317505,1.013004536372606,560162500,0,0,0,0,0,0
NVDA,2025-03-10,109.9000015258789,111.8499984741211,105.45999908447266,106.9800033569336,106.9800033569336,366487400,-0.050670,0,0,0,0,0,0,3.7212712019092207,0.9896697683084,193675100,0,0,0,0,0,0
NVDA,2025-03-11,106.98999786376953,112.23999786376953,104.7699966430664,108.76000213623047,108.76000213623047,354865700,0.016639,0,0,0,0,0,0,3.565697823773162,1.0015655516802666,548540800,0,0,0,0,0,0
NVDA,2025-03-12,114.12000274658203,116.76000213623047,112.87999725341797,115.73999786376953,115.73999786376953,323857500,0.064178,0,0,0,0,0,0,3.055258819615462,1.0053274548396633,872398300,0,0,0,0,0,0
